transcript_id	tissue_name	rpkm_mean	rpkm_std	rpkm_median	coef_variation	max
ENST00000361357	Esophagus - Mucosa	13.338	3.199	13.166	0.23986867671	22.248
ENST00000361357	Brain - Putamen (basal ganglia)	7.871	2.253	8.119	0.286184881879	12.930
ENST00000361357	Artery - Coronary	29.961	5.214	30.240	0.17403342941	42.801
ENST00000361357	Liver	7.650	1.931	7.199	0.252449807651	12.584
ENST00000361357	Esophagus - Gastroesophageal Junction	30.666	6.562	29.851	0.213993259756	45.113
ENST00000361357	Brain - Hypothalamus	8.484	2.036	8.316	0.239952483767	13.572
ENST00000361357	Colon - Transverse	18.397	9.798	15.064	0.532561490758	41.310
ENST00000361357	Prostate	26.079	4.823	25.697	0.184931331475	38.614
ENST00000361357	Brain - Amygdala	5.925	1.449	5.630	0.244502417635	9.306
ENST00000361357	Pancreas	7.934	2.147	7.681	0.270602206476	13.765
ENST00000361357	Adipose - Subcutaneous	32.035	5.675	31.955	0.177138246689	46.133
ENST00000361357	Skin - Sun Exposed (Lower leg)	19.861	4.214	19.659	0.212155390998	31.260
ENST00000361357	Spleen	41.792	6.319	41.927	0.15120035953	55.805
ENST00000361357	Brain - Hippocampus	6.685	2.104	6.181	0.314703905048	11.462
ENST00000361357	Heart - Left Ventricle	18.241	6.868	17.063	0.376504821064	36.509
ENST00000361357	Brain - Cortex	9.282	1.532	9.124	0.165048267709	12.992
ENST00000361357	Muscle - Skeletal	9.731	2.825	9.328	0.290334393576	18.008
ENST00000361357	Brain - Spinal cord (cervical c-1)	12.193	3.253	12.839	0.26677845789	20.174
ENST00000361357	Uterus	29.790	6.014	30.948	0.201891220303	40.361
ENST00000361357	Brain - Nucleus accumbens (basal ganglia)	8.073	2.141	8.193	0.265174252217	13.363
ENST00000361357	Brain - Caudate (basal ganglia)	9.002	2.142	8.987	0.237938281777	14.612
ENST00000361357	Minor Salivary Gland	15.349	4.110	15.222	0.267756113626	22.961
ENST00000361357	Artery - Aorta	29.144	4.806	28.758	0.164901251583	40.877
ENST00000361357	Whole Blood	53.432	33.112	43.060	0.619697795998	157.495
ENST00000361357	Kidney - Cortex	20.690	7.113	20.033	0.343804274475	34.475
ENST00000361357	Nerve - Tibial	31.487	4.705	31.450	0.149414349187	42.924
ENST00000361357	Brain - Frontal Cortex (BA9)	7.566	1.829	7.775	0.241785525456	11.896
ENST00000361357	Adipose - Visceral (Omentum)	26.781	5.816	27.215	0.21718567673	43.206
ENST00000361357	Adrenal Gland	12.701	1.962	12.789	0.154443056628	17.775
ENST00000361357	Lung	30.222	5.747	30.062	0.190169396938	44.938
ENST00000361357	Cells - Transformed fibroblasts	13.828	3.393	13.475	0.245358325895	23.229
ENST00000361357	Artery - Tibial	31.417	7.405	30.219	0.235689873611	52.409
ENST00000361357	Colon - Sigmoid	30.202	4.887	30.524	0.161798570752	42.505
ENST00000361357	Pituitary	15.952	3.333	15.444	0.208914229815	24.548
ENST00000361357	Brain - Substantia nigra	8.121	2.127	8.081	0.261846371076	12.180
ENST00000361357	Cells - EBV-transformed lymphocytes	11.444	1.700	11.413	0.148523767248	15.808
ENST00000311351	Thyroid	2.821	1.968	2.464	0.697470858308	8.466
ENST00000311351	Testis	6.272	2.768	6.350	0.441338647985	13.294
ENST00000311351	Brain - Anterior cingulate cortex (BA24)	3.208	2.198	2.548	0.68505162743	8.751
ENST00000311351	Skin - Not Sun Exposed (Suprapubic)	1.883	1.540	1.437	0.817702043154	6.667
ENST00000311351	Ovary	2.265	1.689	1.921	0.745543933865	6.527
ENST00000311351	Vagina	1.968	1.717	1.555	0.872492866914	6.399
ENST00000311351	Heart - Atrial Appendage	4.872	2.950	4.424	0.605481034271	12.428
ENST00000311351	Esophagus - Muscularis	2.827	1.945	2.493	0.687940950971	8.706
ENST00000311351	Brain - Cerebellar Hemisphere	2.065	1.741	1.442	0.842892032496	7.739
ENST00000311351	Small Intestine - Terminal Ileum	2.374	1.886	1.830	0.7945274942	7.516
ENST00000311351	Breast - Mammary Tissue	2.425	1.968	1.782	0.8116730362	8.098
ENST00000311351	Stomach	2.389	1.805	2.090	0.755662601367	7.342
ENST00000311351	Brain - Cerebellum	2.275	1.628	2.130	0.715550966947	7.184
ENST00000311351	Esophagus - Mucosa	1.511	1.222	1.138	0.809131642704	5.122
ENST00000311351	Brain - Putamen (basal ganglia)	2.220	1.496	2.180	0.673942264867	6.281
ENST00000311351	Artery - Coronary	2.386	1.785	1.882	0.747817313209	7.633
ENST00000311351	Liver	2.324	1.724	2.069	0.7419079828	7.101
ENST00000311351	Esophagus - Gastroesophageal Junction	3.028	2.254	2.290	0.744292658183	9.345
ENST00000311351	Brain - Hypothalamus	3.384	2.150	3.366	0.635306370579	8.972
ENST00000311351	Colon - Transverse	2.504	1.763	2.192	0.703996226094	7.525
ENST00000311351	Prostate	4.222	2.859	3.715	0.677277984584	11.775
ENST00000311351	Brain - Amygdala	3.019	2.066	2.567	0.684299874862	8.007
ENST00000311351	Pancreas	1.864	1.407	1.533	0.754629836471	5.854
ENST00000311351	Adipose - Subcutaneous	2.399	1.910	1.875	0.796241432212	8.290
ENST00000311351	Skin - Sun Exposed (Lower leg)	2.110	1.566	1.708	0.742226555826	6.813
ENST00000311351	Spleen	2.659	2.274	2.081	0.855178271613	9.281
ENST00000311351	Brain - Hippocampus	3.285	2.453	2.920	0.74696721289	10.143
